"","order_var","article_title","n","mins","hrs"
"96",4,"Downed Russian plane leaves unanswered questions",76,380,6.33333333333333
"97",8,"Why did a propaganda network steal her face?",76,380,6.33333333333333
"98",1,"Trump must pay $83.3m for defaming E Jean Carroll",75,375,6.25
"99",5,"Elmo responds to 'world is on fire' angst",75,375,6.25
"100",5,"One-time giant of African air travel mounts comeback",75,375,6.25
"101",5,"Three wounded in Paris train station knife attack",75,375,6.25
"102",7,"Taiwan just chose a president China loathes. What now?",75,375,6.25
"103",9,"Taylor Swift deepfakes spark calls for US legislation",75,375,6.25
"104",1,"Cancer doctor takes gamble to treat his brain tumour",74,370,6.16666666666667
"105",1,"Oil tanker on fire after Houthi missile attack, firm says",74,370,6.16666666666667
"106",2,"They fled as lava spilled into town - and they may never return",74,370,6.16666666666667
"107",2,"They were Israel's 'eyes on the border' - their warnings went unheard",74,370,6.16666666666667
"108",5,"Nikki Haley asks for Secret Service protection",74,370,6.16666666666667
"109",6,"Tough choices for Israel in US's Middle East vision",74,370,6.16666666666667
"110",1,"Three US troops killed in Middle East drone attack",73,365,6.08333333333333
"111",2,"Russian 'ultra-patriot' jailed after insulting Putin",73,365,6.08333333333333
"112",10,"Does Germany’s economy need more than a cup of coffee?",73,365,6.08333333333333
"113",2,"'My memory is fine' - Biden hits back at special counsel",72,360,6
"114",1,"Massive winter US storm expected to hit millions",71,355,5.91666666666667
"115",1,"Ukraine says it shot down Russian spy plane",71,355,5.91666666666667
"116",5,"New Iceland eruption triggers state of emergency",71,355,5.91666666666667
"117",9,"Twins separated and sold at birth reunited by TikTok",71,355,5.91666666666667
"118",1,"Alabama carries out first US nitrogen gas execution",70,350,5.83333333333333
"119",2,"Grammy Awards red carpet and ceremony in pictures",70,350,5.83333333333333
"120",3,"Cockpit window crack forces ANA Boeing to turn back",70,350,5.83333333333333
"121",3,"In Ukraine's river war, drones mean nowhere is safe",70,350,5.83333333333333
"122",3,"US and UK hint at action after largest Red Sea attack",70,350,5.83333333333333
"123",1,"Kate in hospital as King to get prostate treatment",69,345,5.75
"124",4,"Nearly 90 dead after fierce winter storms strike US",69,345,5.75
"125",5,"US convicts Russian man who flew to LA without passport",69,345,5.75
"126",6,"BBC's Glenn Campbell: My brain cancer diagnosis was a total shock",69,345,5.75
"127",9,"The Emmys red carpet in pictures",69,345,5.75
"128",1,"They were Israel's eyes on the border - but their Hamas warnings went unheard",68,340,5.66666666666667
"129",2,"Haley finally gets her solo showdown with Trump",68,340,5.66666666666667
"130",4,"Trump takes legal risk on stand in defamation trial",68,340,5.66666666666667
"131",6,"100 days since unthinkable attack triggered devastating war",68,340,5.66666666666667
"132",8,"Musician Jelly Roll pushes for anti-fentanyl bill",68,340,5.66666666666667
"133",8,"The Emmys red carpet in pictures",68,340,5.66666666666667
"134",5,"'Say you're sorry': Russia's trend for humiliating videos",67,335,5.58333333333333
"135",5,"British base jumper dies after parachute fails",67,335,5.58333333333333
"136",6,"UK considering recognising Palestine state - Cameron",67,335,5.58333333333333
"137",2,"Boeing in ‘last chance saloon’, warns Emirates boss",66,330,5.5
"138",3,"Ukraine drones hit St Petersburg gas terminal",66,330,5.5
"139",6,"Bali bomb families face accused at Guantanamo Bay",66,330,5.5
"140",8,"Chinese mafia bosses behind scam centres arrested",66,330,5.5
"141",5,"Bali bomb families face accused at Guantanamo Bay",65,325,5.41666666666667
"142",6,"New Iceland eruption triggers state of emergency",65,325,5.41666666666667
"143",10,"Stunning shot of polar bear drifting to sleep wins award",65,325,5.41666666666667
"144",1,"Jacinda Ardern marries partner in private ceremony",64,320,5.33333333333333
"145",1,"Zuckerberg apologises to families in fiery Senate hearing",64,320,5.33333333333333
"146",2,"Netanyahu rejects Hamas's proposed ceasefire terms",64,320,5.33333333333333
"147",4,"World's largest cruise ship sets sail from Miami",64,320,5.33333333333333
"148",5,"'The unstoppable wars have destroyed our lives'",64,320,5.33333333333333
"149",5,"Swedish alarm after defence chiefs' war warning",64,320,5.33333333333333
"150",6,"'Say you're sorry': Russia's trend for humiliating videos",64,320,5.33333333333333
"151",5,"American lunar mission destroyed over Pacific Ocean",63,315,5.25
"152",10,"Argentina expels family of Ecuador gang leader",63,315,5.25
"153",1,"'My memory is fine' - Biden hits back at special counsel",62,310,5.16666666666667
"154",1,"Georgia prosecutors in Trump case admit affair",62,310,5.16666666666667
"155",1,"World's largest cruise ship to set sail from Miami",62,310,5.16666666666667
"156",2,"News outlet's doctored MP photo causes sexism fury",62,310,5.16666666666667
"157",3,"Huge galaxy ring challenges thinking on universe",62,310,5.16666666666667
"158",3,"Shock as Hunter Biden attends House contempt hearing",62,310,5.16666666666667
"159",8,"Why is TikTok going crazy for Stanley water cups?",62,310,5.16666666666667
"160",2,"Japan Moon lander wakes up and resumes mission",61,305,5.08333333333333
"161",2,"Namibia President Hage Geingob dies aged 82",61,305,5.08333333333333
"162",2,"UK halts aid to UN agency after Hamas attack claim",61,305,5.08333333333333
"163",2,"William visits Kate in hospital after surgery",61,305,5.08333333333333
"164",3,"Germans mull ban on elected far-right party after scandal",61,305,5.08333333333333
"165",4,"They fled as lava spilled into town - and they may never return",61,305,5.08333333333333
"166",4,"US sanctions Israeli settlers over West Bank violence",61,305,5.08333333333333
"167",5,"Adidas says it plans to sell remaining Yeezy stock",61,305,5.08333333333333
"168",5,"WWE boss accused of sex trafficking",61,305,5.08333333333333
"169",10,"Taylor Swift deepfakes spark calls for US legislation",61,305,5.08333333333333
"170",1,"Huge galaxy ring challenges thinking on universe",60,300,5
"171",2,"Asia's most eligible prince formally marries in Brunei",60,300,5
"172",2,"Trump asked to pay NY Times $392,000 in legal costs",60,300,5
"173",3,"Defamation defeat a double-edged sword for Trump",60,300,5
"174",3,"Video released of search for Clapham attack suspect",60,300,5
"175",4,"Three US soldiers killed in Jordan attack named",60,300,5
"176",6,"Japan bomber may have been found after 50 years",60,300,5
"177",7,"Young Austrian heiress reveals €25m giveaway plan",60,300,5
"178",9,"Finnish artists want Israel barred from Eurovision",60,300,5
"179",10,"Finnish artists want Israel barred from Eurovision",60,300,5
"180",2,"What Trump's dominant win means for White House race",59,295,4.91666666666667
"181",3,"Yemen strikes show war in Gaza has already spread",59,295,4.91666666666667
"182",4,"Snoop Dogg’s daughter speaks of shock after stroke",59,295,4.91666666666667
"183",4,"Swedish alarm after defence chiefs' war warning",59,295,4.91666666666667
"184",5,"China says US 'gravely wrong' to congratulate Taiwan leader",59,295,4.91666666666667
"185",6,"I noticed a bulging lump sensation in my vagina",59,295,4.91666666666667
"186",9,"US son allegedly shot and beheaded dad before rant",59,295,4.91666666666667
"187",1,"Former CIA hacker sentenced to 40 years in prison",58,290,4.83333333333333
"188",2,"Crisis-hit China Evergrande ordered to liquidate",58,290,4.83333333333333
"189",2,"How Swiss museum heist was foiled by sting at London hotel",58,290,4.83333333333333
"190",2,"Rare N Korea footage shows teens sentenced over K-drama",58,290,4.83333333333333
"191",2,"Trump 'unleashed' followers on Carroll, says lawyer",58,290,4.83333333333333
"192",3,"Japan lands on Moon but glitch threatens mission",58,290,4.83333333333333
"193",3,"Liberia's new leader fails to end inauguration speech",58,290,4.83333333333333
"194",3,"What do we know about the King's cancer diagnosis?",58,290,4.83333333333333
"195",3,"World's largest cruise ship sets sail from Miami",58,290,4.83333333333333
"196",4,"Taiwan elects pro-sovereignty leader, angering Beijing",58,290,4.83333333333333
"197",5,"Six-legged dog has operation to remove extra limbs",58,290,4.83333333333333
"198",7,"100 days since unthinkable attack triggered devastating war",58,290,4.83333333333333
"199",10,"The new-style nightclub that's only open in the day",58,290,4.83333333333333
"200",2,"Alabama carries out first nitrogen gas execution",57,285,4.75
"201",4,"'We are surrounded': Guarding the Middle East's most dangerous border",57,285,4.75
"202",7,"Tucker Carlson interviews Russia's Putin - Kremlin",57,285,4.75
"203",8,"'Drugged, robbed, killed': One city's deadly dating trap",57,285,4.75
"204",10,"Death of US troops ratchets up pressure on Biden",57,285,4.75
"205",3,"Hamas sets out three-stage plan for ceasefire deal",56,280,4.66666666666667
"206",3,"Namibia President Hage Geingob dies aged 82",56,280,4.66666666666667
"207",4,"BBC's Glenn Campbell: My brain cancer diagnosis was a total shock",56,280,4.66666666666667
"208",5,"Is North Korea's leader actually considering war?",56,280,4.66666666666667
"209",5,"Scientists crack mystery of how MS gene spread",56,280,4.66666666666667
"210",5,"Why did US wait to retaliate for drone attack on its troops?",56,280,4.66666666666667
"211",7,"What we know about US strikes in Iraq and Syria",56,280,4.66666666666667
"212",9,"One name dominant as Iowa voters kick off 2024 race",56,280,4.66666666666667
"213",10,"US teen hailed after saving baby from electrocution",56,280,4.66666666666667
"214",1,"Brunei's 'hot prince' formally marries in ceremony",55,275,4.58333333333333
"215",1,"Israel says 24 soldiers killed in Gaza in one day",55,275,4.58333333333333
"216",2,"Biden says he has decided US response to Jordan attack",55,275,4.58333333333333
"217",2,"US inmate hours away from first nitrogen execution",55,275,4.58333333333333
"218",4,"Two Royal Navy warships collide at Bahrain port",55,275,4.58333333333333
"219",7,"Brazen van heists bring terror to South Africa’s roads",55,275,4.58333333333333
"220",7,"Dua Lipa, Billie Eilish and SZA set to star at Grammy Awards",55,275,4.58333333333333
"221",9,"Fans boo as Messi fails to play in Hong Kong friendly",55,275,4.58333333333333
"222",9,"Stunning shot of polar bear drifting to sleep wins award",55,275,4.58333333333333
"223",10,"Western officials in protest over Israel Gaza policy",55,275,4.58333333333333
"224",1,"Putin challenger barred from Russia's election",54,270,4.5
"225",2,"US and UK repel largest Houthi attack in Red Sea",54,270,4.5
"226",5,"Five takeaways from the Haley-DeSantis debate",54,270,4.5
"227",6,"At least half of Gaza buildings damaged or destroyed, new analysis shows",54,270,4.5
"228",6,"Who invented butter chicken? Creamy dish centre of court battle",54,270,4.5
"229",7,"'I regret posting online that I was Madeleine McCann'",54,270,4.5
"230",9,"'I regret posting online that I was Madeleine McCann'",54,270,4.5
"231",9,"Iran's sudden strikes show just how perilous region has become",54,270,4.5
"232",1,"Princess of Wales in hospital after abdominal surgery",53,265,4.41666666666667
"233",1,"Six held over plot to disrupt London Stock Exchange",53,265,4.41666666666667
"234",2,"Alec Baldwin charged again in fatal Rust shooting",53,265,4.41666666666667
"235",3,"New Iceland eruption triggers state of emergency",53,265,4.41666666666667
"236",4,"China says US 'gravely wrong' to congratulate Taiwan leader",53,265,4.41666666666667
"237",4,"Illegal New York synagogue tunnel leads to 9 arrests",53,265,4.41666666666667
"238",5,"'I just love you': Trump challengers fall in line",53,265,4.41666666666667
"239",5,"BBC's Glenn Campbell: My brain cancer diagnosis was a total shock",53,265,4.41666666666667
"240",5,"Top Arizona Republican quits over leaked tape offer",53,265,4.41666666666667
"241",6,"AI to hit 40% of jobs and worsen inequality, IMF says",53,265,4.41666666666667
"242",8,"Huge ancient city found in the Amazon",53,265,4.41666666666667
"243",8,"Taylor Swift deepfakes spark calls for US legislation",53,265,4.41666666666667
"244",9,"Ghana court sentences six coup plotters to death",53,265,4.41666666666667
"245",9,"Philippine leader defends taking helicopter to gig",53,265,4.41666666666667
"246",10,"'I just love you': Trump challengers fall in line",53,265,4.41666666666667
"247",2,"Iran security officials killed 'in Israeli strike'",52,260,4.33333333333333
"248",2,"Israel officials want Gaza destruction, court told",52,260,4.33333333333333
"249",2,"Trial to cover Elizabeth line 'ghost' marks",52,260,4.33333333333333
"250",3,"Inert nuclear missile found in US man's garage",52,260,4.33333333333333
"251",4,"India PM to open grand temple on razed mosque site",52,260,4.33333333333333
"252",4,"Is North Korea's leader actually considering war?",52,260,4.33333333333333
"253",4,"Liberia's new leader fails to end inauguration speech",52,260,4.33333333333333
"254",4,"Weight-loss surgeon told patient 'eat, eat, eat'",52,260,4.33333333333333
"255",5,"Doomsday Clock stays at 90 seconds to midnight",52,260,4.33333333333333
"256",5,"Fierce row after sacking of ABC presenter over Gaza post",52,260,4.33333333333333
"257",6,"Disgraced singer Gary Glitter refused jail release",52,260,4.33333333333333
"258",7,"Captain Cook statue sawn off ahead of Australia Day",52,260,4.33333333333333
"259",7,"E Jean Carroll says Trump shattered her reputation",52,260,4.33333333333333
"260",9,"Why did US wait to retaliate for drone attack on its troops?",52,260,4.33333333333333
"261",1,"Israeli war leader challenges Netanyahu over Gaza",51,255,4.25
"262",2,"Oil tanker on fire after Houthi missile attack, firm says",51,255,4.25
"263",3,"'Say you're sorry': Russia's trend for humiliating videos",51,255,4.25
"264",3,"Boy with IQ of 162 says football comes first",51,255,4.25
"265",3,"No more easy deals for Russian convicts freed to fight",51,255,4.25
"266",3,"Schwarzenegger detained over tax for luxury watch",51,255,4.25
"267",4,"Pakistan says children killed in Iranian strike",51,255,4.25
"268",6,"Illegal New York synagogue tunnel leads to 9 arrests",51,255,4.25
"269",9,"UK forces not ready for intensive war, MPs warn",51,255,4.25
"270",10,"Maignan and Milan walk off after alleged racist abuse",51,255,4.25
"271",10,"Who invented butter chicken? Creamy dish centre of court battle",51,255,4.25
"272",2,"Rocky star Carl Weathers dies aged 76",50,250,4.16666666666667
"273",3,"Christie exits 2024 race with parting shot at Trump",50,250,4.16666666666667
"274",3,"Kate in hospital as King to get prostate treatment",50,250,4.16666666666667
"275",4,"Did bodybuilding bring on my early perimenopause?",50,250,4.16666666666667
"276",5,"Former CIA hacker sentenced to 40 years in prison",50,250,4.16666666666667
"277",6,"Polish police arrest MPs in presidential palace",50,250,4.16666666666667
"278",6,"US woman gets 26 years for mother's 'suitcase murder'",50,250,4.16666666666667
"279",7,"Dua Lipa, Billie Eilish and SZA to star at Grammy Awards",50,250,4.16666666666667
"280",10,"An eccentric Danish queen abdicates - will others follow?",50,250,4.16666666666667
"281",1,"Grammys 2024: The highs, lows and why Swift won",49,245,4.08333333333333
"282",3,"New atom-smasher could spark physics revolution",49,245,4.08333333333333
"283",3,"US condemns Iran for 'reckless' strikes on Iraq",49,245,4.08333333333333
"284",5,"Yes or snow? Reese Witherspoon's viral brew divides opinion",49,245,4.08333333333333
"285",7,"Post Office threatened BBC over whistleblower",49,245,4.08333333333333
"286",8,"Biden says US strikes have not stopped Houthi attacks",49,245,4.08333333333333
"287",8,"Police failed to respond to 999 call from deaths house",49,245,4.08333333333333
"288",8,"Why the e-bike boom is raising fire fears",49,245,4.08333333333333
"289",10,"US son allegedly shot and beheaded dad before rant",49,245,4.08333333333333
"290",2,"Germans mull ban on elected far-right party after scandal",48,240,4
"291",2,"Ukraine says it has uncovered major arms corruption",48,240,4
"292",3,"Fierce row after sacking of ABC presenter over Gaza post",48,240,4
"293",3,"I noticed a bulging lump sensation in my vagina",48,240,4
"294",3,"Is North Korea's leader actually considering war?",48,240,4
"295",3,"Russian poet and Putin critic Lev Rubinstein dies after car crash",48,240,4
"296",4,"Clapham suspect convicted of sex offence in 2018",48,240,4
"297",5,"Haley calls Trump insecure for false 'birther' claims",48,240,4
"298",5,"US upholds ban on sale of latest Apple watches",48,240,4
"299",6,"China warns against 'exotic beauty' spy traps",48,240,4
"300",6,"Iran says US strikes are a 'strategic mistake'",48,240,4
"301",6,"Tucker Carlson interviews Russia's Putin - Kremlin",48,240,4
"302",7,"One name dominant as Iowa voters kick off 2024 race",48,240,4
"303",7,"Where did it all go wrong for Ron DeSantis?",48,240,4
"304",8,"Drone attack kills six Syrian fighters at US base",48,240,4
"305",10,"Colombia's 'Cocaine Godmother' gets Hollywood makeover",48,240,4
"306",2,"Houthi missile hits US-owned cargo ship off Yemen",47,235,3.91666666666667
"307",3,"Israelis tell MPs of Hamas sexual violence evidence",47,235,3.91666666666667
"308",3,"Where Biden v Trump will be won and lost",47,235,3.91666666666667
"309",4,"How London hotel sting caught Swiss museum heist thieves",47,235,3.91666666666667
"310",4,"Israel accused of targeting civilians in deadly West Bank strike",47,235,3.91666666666667
"311",5,"Benzema files defamation suit against French minister",47,235,3.91666666666667
"312",6,"Biden vows border 'shut down' if Congress passes deal",47,235,3.91666666666667
"313",7,"I noticed a bulging lump sensation in my vagina",47,235,3.91666666666667
"314",8,"The Japanese firm at the heart of the Horizon scandal",47,235,3.91666666666667
"315",10,"'God gave us Trump' - evangelicals key in Iowa vote",47,235,3.91666666666667
"316",10,"Canada sets two-year cap on foreign students",47,235,3.91666666666667
"317",1,"Controversy after Ukrainian-born model crowned Miss Japan",46,230,3.83333333333333
"318",1,"How London hotel sting caught Swiss museum heist thieves",46,230,3.83333333333333
"319",1,"Netanyahu rejects Hamas's proposed ceasefire terms",46,230,3.83333333333333
"320",2,"First glimpse of Netflix's Andrew and Maitlis in film",46,230,3.83333333333333
"321",2,"Ukraine says it shot down Russian spy plane",46,230,3.83333333333333
"322",2,"Western officials in protest over Israel Gaza policy",46,230,3.83333333333333
"323",3,"How London hotel sting caught Swiss museum heist thieves",46,230,3.83333333333333
"324",3,"India PM opens grand temple on razed mosque site",46,230,3.83333333333333
"325",4,"Moments before US boy, 11, shot by police revealed",46,230,3.83333333333333
"326",4,"Schwarzenegger detained over tax for luxury watch",46,230,3.83333333333333
"327",4,"Spain's prime minister defends Eurovision entry",46,230,3.83333333333333
"328",4,"X blocks searches for Taylor Swift on its site",46,230,3.83333333333333
"329",6,"French police sentenced for brutal search assault",46,230,3.83333333333333
"330",6,"US Moon mission on course for fiery destruction",46,230,3.83333333333333
"331",7,"Boeing seeks Ryanair support after mid-air blowout",46,230,3.83333333333333
"332",7,"Hunt to uncover story of mysterious shipwreck",46,230,3.83333333333333
"333",7,"Russia: Cat thrown off train into snow found dead",46,230,3.83333333333333
"334",8,"Stunning shot of polar bear drifting to sleep wins award",46,230,3.83333333333333
"335",8,"Trump's federal trial on election meddling postponed",46,230,3.83333333333333
"336",8,"Trump cannot speak at civil fraud trial - judge",46,230,3.83333333333333
"337",9,"Protesters throw soup at Mona Lisa painting",46,230,3.83333333333333
"338",9,"US strikes Iran-backed militia in Iraq",46,230,3.83333333333333
"339",10,"Bowels, bladders, sex: Rediscovering life after injury",46,230,3.83333333333333
"340",1,"Crisis-hit China Evergrande ordered to liquidate",45,225,3.75
"341",1,"Defamation defeat a double-edged sword for Trump",45,225,3.75
"342",1,"Mother convicted for failing to stop school shooting",45,225,3.75
"343",1,"Snoop Dogg’s daughter speaks of shock after stroke",45,225,3.75
"344",2,"Musk announces wireless brain chip implant",45,225,3.75
"345",2,"Myanmar's army is losing - and facing fire from a militant monk",45,225,3.75
"346",2,"What do we know about the King's cancer diagnosis?",45,225,3.75
"347",4,"Young Austrian heiress reveals €25m giveaway plan",45,225,3.75
"348",6,"'World's oldest dog' title thrown into doubt",45,225,3.75
"349",6,"British base jumper dies after parachute fails",45,225,3.75
"350",6,"Imran Khan and wife jailed for illegal marriage",45,225,3.75
"351",6,"Man sentenced to death for Japan anime studio fire",45,225,3.75
"352",7,"Fierce row after sacking of ABC presenter over Gaza post",45,225,3.75
"353",7,"McCann suspect to stay silent in German rape trial",45,225,3.75
"354",9,"'Will you come and get me?' Gaza girl's desperate plea before losing contact",45,225,3.75
"355",9,"Rule, Britannia! is uncomfortable, cellist says",45,225,3.75
"356",9,"Taiwan just chose a president China loathes. What now?",45,225,3.75
"357",10,"Huge ancient city found in the Amazon",45,225,3.75
"358",1,"Ecuador declares war on gangs after TV attack",44,220,3.66666666666667
"359",1,"Gosling 'disappointed' at Gerwig and Robbie Oscar snubs",44,220,3.66666666666667
"360",2,"Downed Russian plane leaves unanswered questions",44,220,3.66666666666667
"361",3,"Miss Japan steps down after tabloid exposes affair",44,220,3.66666666666667
"362",3,"Tom Holland bonus sent to Tom Hollander in error",44,220,3.66666666666667
"363",3,"US sanctions Israeli settlers over West Bank violence",44,220,3.66666666666667
"364",3,"US school shooter's mum blames husband at trial",44,220,3.66666666666667
"365",4,"Can Nikki Haley really stop Donald Trump in 2024?",44,220,3.66666666666667
"366",4,"The One Where They Find Friends Scripts in a Bin",44,220,3.66666666666667
"367",4,"UK island base not suitable for migrants, UN says",44,220,3.66666666666667
"368",4,"US personnel injured in missile attack on Iraq base",44,220,3.66666666666667
"369",6,"Military-led West African states leave Ecowas",44,220,3.66666666666667
"370",7,"Mining giants told to pay $9.7bn over dam disaster",44,220,3.66666666666667
"371",9,"Add salt to make perfect cup of tea, US scientist says",44,220,3.66666666666667
"372",9,"Zuckerberg wins on Wall Street after Washington hit",44,220,3.66666666666667
"373",10,"What options does US have to respond to Jordan attack?",44,220,3.66666666666667
"374",1,"Hamas video claims to show dead Israeli hostages",43,215,3.58333333333333
"375",1,"Israeli father fears hostage daughter was sexually abused",43,215,3.58333333333333
"376",1,"Pakistan launches retaliatory strikes into Iran",43,215,3.58333333333333
"377",2,"Imran Khan given second jail sentence in two days",43,215,3.58333333333333
"378",4,"Zuckerberg apologises to families in fiery Senate hearing",43,215,3.58333333333333
"379",5,"Swift threatens to sue student who tracks her jet",43,215,3.58333333333333
