"","order_var","article_title","n","mins","hrs"
"166",1,"The Taiwan that China wants is vanishing",12,60,1
"167",1,"Margot Robbie comments on best actress Oscar snub",11,55,0.916666666666667
"168",1,"Putin says deal can be reached to free US reporter",11,55,0.916666666666667
"169",1,"World tops 1.5C warming threshold for full year",11,55,0.916666666666667
"170",1,"Disposable vapes to be banned for child health",10,50,0.833333333333333
"171",1,"Iran's sudden strikes show just how perilous region has become",10,50,0.833333333333333
"172",1,"Man held for murder over South Africa building fire",10,50,0.833333333333333
"173",1,"Nikki Haley fights on, but this is Trump's party now",10,50,0.833333333333333
"174",1,"Thunberg cleared after unlawful protest arrest",10,50,0.833333333333333
"175",1,"What we know: Strikes on Houthis and strategy behind them",10,50,0.833333333333333
"176",1,"Alabama inmate faces first nitrogen execution in US",9,45,0.75
"177",1,"Boeing in ‘last chance saloon’, warns Emirates boss",9,45,0.75
"178",1,"Deadly blast hits market in Russia-held Ukraine city",9,45,0.75
"179",1,"First IVF rhino pregnancy 'could save species'",9,45,0.75
"180",1,"Five kidnapped Nigerian sisters released",9,45,0.75
"181",1,"Houses set on fire as lava spills into Iceland town",9,45,0.75
"182",1,"Michigan school shooter's mother found guilty",9,45,0.75
"183",1,"Missing China billionaire banker quits all roles",9,45,0.75
"184",1,"Pakistan says children killed in Iranian strike",9,45,0.75
"185",1,"Schwarzenegger detained over tax for luxury watch",9,45,0.75
"186",1,"Shackled woman in Hungary court sparks Italy anger",9,45,0.75
"187",1,"Three US troops killed in drone attack in Jordan",9,45,0.75
"188",1,"Alec Baldwin charged again in fatal Rust shooting",8,40,0.666666666666667
"189",1,"French volunteers killed in Russian strike - Macron",8,40,0.666666666666667
"190",1,"Musk announces wireless brain chip implant",8,40,0.666666666666667
"191",1,"Trump gives a 4-minute defence in defamation trial",8,40,0.666666666666667
"192",1,"Ukrainian-born model named Miss Japan stirs controversy",8,40,0.666666666666667
"193",1,"Alec Baldwin charged with involuntary manslaughter",7,35,0.583333333333333
"194",1,"Deadly blasts in Pakistan day before general election",7,35,0.583333333333333
"195",1,"Newborn baby found in shopping bag by dog walker",7,35,0.583333333333333
"196",1,"Oscar nominations to reflect Barbenheimer success",7,35,0.583333333333333
"197",1,"Rio declares health emergency days before Carnival",7,35,0.583333333333333
"198",1,"Senior Iran security officials killed in Syria",7,35,0.583333333333333
"199",1,"Taiwan just chose a president China loathes. What now?",7,35,0.583333333333333
"200",1,"Top US court refuses to block nitrogen gas execution",7,35,0.583333333333333
"201",1,"Biden sanctions Israeli settlers over West Bank violence",6,30,0.5
"202",1,"Brunei's 'hot prince' formally married in ceremony",6,30,0.5
"203",1,"Duchess of York diagnosed with skin cancer",6,30,0.5
"204",1,"Fire on ship linked to Britain after Houthi attack",6,30,0.5
"205",1,"Grammy Awards: The main winners as they happen",6,30,0.5
"206",1,"Hamilton to leave Mercedes and join Ferrari in 2025",6,30,0.5
"207",1,"How Swiss museum heist was foiled by sting at London hotel",6,30,0.5
"208",1,"Israel and Hamas reach agreement on Gaza aid",6,30,0.5
"209",1,"King Charles to be treated for benign prostate condition",6,30,0.5
"210",1,"Klopp to leave as Liverpool boss at end of season",6,30,0.5
"211",1,"Legendary Radio 1 DJ Annie Nightingale dies at 83",6,30,0.5
"212",1,"Oppenheimer eclipses Barbie in Bafta nominations",6,30,0.5
"213",1,"Pakistan launches retaliatory strikes on Iran",6,30,0.5
"214",1,"Pentagon chief apologises for secretive hospital stay",6,30,0.5
"215",1,"Rocky star Carl Weathers dies aged 76",6,30,0.5
"216",1,"S Africa's ANC suspends Zuma after new party launch",6,30,0.5
"217",1,"US and UK strikes fail to slow Houthi attacks",6,30,0.5
"218",1,"US sanctions Israeli settlers over West Bank violence",6,30,0.5
"219",1,"Alabama carries out first nitrogen gas execution",5,25,0.416666666666667
"220",1,"Bolts missing from door, says Boeing blowout probe",5,25,0.416666666666667
"221",1,"Hunter Biden pleads not guilty to nine tax charges",5,25,0.416666666666667
"222",1,"Pakistan ex-PM Imran Khan jailed another 14 years",5,25,0.416666666666667
"223",1,"Pakistan launches missile strikes into Iran",5,25,0.416666666666667
"224",1,"Police response to Uvalde was a failure, DOJ says",5,25,0.416666666666667
"225",1,"Russian state media revels in Tucker Carlson visit",5,25,0.416666666666667
"226",1,"Tough choices for Israel in US's Middle East vision",5,25,0.416666666666667
"227",1,"UK to loan back Ghana's looted 'crown jewels'",5,25,0.416666666666667
"228",1,"UN court hears genocide case against Israel",5,25,0.416666666666667
"229",1,"'Will you come and get me?' Gaza girl's desperate plea before losing contact",4,20,0.333333333333333
"230",1,"Australian MP accuses news channel of editing body",4,20,0.333333333333333
"231",1,"Biden will not be charged over top secret documents",4,20,0.333333333333333
"232",1,"Christie drops out of Republican White House race",4,20,0.333333333333333
"233",1,"Iran denies involvement in attack that killed US troops",4,20,0.333333333333333
"234",1,"Israel accused of targeting civilians in deadly West Bank strike",4,20,0.333333333333333
"235",1,"Putin challenger barred from Russia's presidential election",4,20,0.333333333333333
"236",1,"Putin interview released by ex-Fox host Tucker Carlson",4,20,0.333333333333333
"237",1,"Ryan Gosling disappointed by Barbie's Oscar snubs",4,20,0.333333333333333
"238",1,"'Send back our husbands' - Russian women in rare protest",3,15,0.25
"239",1,"""Will you come and get me?"" Gaza girl's desperate plea before losing contact",3,15,0.25
"240",1,"An eccentric Danish queen abdicates - will others follow?",3,15,0.25
"241",1,"At least half of Gaza buildings damaged or destroyed, new analysis shows",3,15,0.25
"242",1,"Biden says he has decided US Jordan attack response",3,15,0.25
"243",1,"Deadly market blast hits Russia-held Ukraine city",3,15,0.25
"244",1,"Fast fashion helps fuel blazing kilns where workers faint from heat",3,15,0.25
"245",1,"Five Republican storylines to watch for in Iowa",3,15,0.25
"246",1,"Funding paused as UN staff probed over Hamas attack",3,15,0.25
"247",1,"Huge push for Gaza aid - but little hope for those suffering",3,15,0.25
"248",1,"India PM to open grand temple on razed mosque site",3,15,0.25
"249",1,"Is North Korea's leader actually considering war?",3,15,0.25
"250",1,"Israel calls genocide claim a distortion of truth",3,15,0.25
"251",1,"Legendary coach Belichick to leave Patriots",3,15,0.25
"252",1,"Madonna sued by fans over late concert start time",3,15,0.25
"253",1,"Myanmar's army is losing - and facing fire from a militant monk",3,15,0.25
"254",1,"Namibia leader sworn-in hours after predecessor dies",3,15,0.25
"255",1,"New atom-smasher could spark physics revolution",3,15,0.25
"256",1,"Pakistan cuts off mobile internet as country votes",3,15,0.25
"257",1,"Special counsel will not charge Biden over classified documents",3,15,0.25
"258",1,"Taiwan elects pro-sovereign William Lai, angering Beijing",3,15,0.25
"259",1,"What are routes out of this 'dangerous moment' in Middle East?",3,15,0.25
"260",1,"What do we know about the King's cancer diagnosis?",3,15,0.25
"261",1,"'We need jungle' - Amol Rajan on his TV quiz remix craze",2,10,0.166666666666667
"262",1,"BBC confronts man who abused boy in secretive Christian Church",2,10,0.166666666666667
"263",1,"Christie set to drop out of US presidential race",2,10,0.166666666666667
"264",1,"Hamas sets out three-stage plan for ceasefire deal",2,10,0.166666666666667
"265",1,"Newborn baby girl found in shopping bag",2,10,0.166666666666667
"266",1,"Pakistan ex-PM Imran Khan jailed for another 14 years",2,10,0.166666666666667
"267",1,"Putin challenger says he is barred from election",2,10,0.166666666666667
"268",1,"Thunberg case thrown because of 'no evidence'",2,10,0.166666666666667
"269",1,"William visits Kate in hospital",2,10,0.166666666666667
"270",1,"Biden 'wilfully retained' classified files but will not face charges",1,5,0.0833333333333333
"271",1,"Biden defends his memory after special counsel criticism",1,5,0.0833333333333333
"272",1,"Biden says he's decided US response to Jordan attack",1,5,0.0833333333333333
"273",1,"Biden will not face criminal charges, says Special Counsel",1,5,0.0833333333333333
"274",1,"Detained Australian given suspended death sentence in China",1,5,0.0833333333333333
"275",1,"Haley beaten by 'none of the candidates' in Nevada",1,5,0.0833333333333333
"276",1,"Russia military jet crashes in region near Ukraine",1,5,0.0833333333333333
"277",1,"They were Israel's eyes on the border - their Hamas warnings went unheard",1,5,0.0833333333333333
"278",1,"Thunberg case thrown out for 'unlawful' conditions",1,5,0.0833333333333333
"279",1,"Trailblazing Radio 1 DJ Annie Nightingale dies at 83",1,5,0.0833333333333333
"280",1,"US Navy Seals presumed dead after anti-Houthi mission",1,5,0.0833333333333333
