"","article_title","n","mins","hrs"
"637","Fact-checking Putin's 'nonsense' history",41,205,3.41666666666667
"638","Tragic finale as film great Delon's family torn apart",41,205,3.41666666666667
"639","UN court hears genocide case against Israel",41,205,3.41666666666667
"640","US Congress votes to avoid looming shutdown",41,205,3.41666666666667
"641","25,000 now killed in Gaza, says Hamas-run ministry",40,200,3.33333333333333
"642","Arrests made after six bodies found in desert",40,200,3.33333333333333
"643","Cyclone brings heavy rain to Mauritius and Réunion",40,200,3.33333333333333
"644","Mafia boss who fled jail using bed sheets captured",40,200,3.33333333333333
"645","Can Musk's Neuralink brain chip really change the world?",39,195,3.25
"646","Grammy Awards: The main winners as they happen",39,195,3.25
"647","Hobbit first edition found at boot sale for £1.50",39,195,3.25
"648","Orban and EU leaders to face off over Ukraine aid",39,195,3.25
"649","Sports Illustrated in further turmoil after AI scandal",39,195,3.25
"650","BBC confronts man who abused boy in secretive Christian Church",38,190,3.16666666666667
"651","Dozens dead in strike on Russia-held Ukraine city",38,190,3.16666666666667
