"","article_title","n","mins","hrs"
"316","Why did Iran launch strikes on its allies' territory?",109,545,9.08333333333333
"317","Armenians fight controversial Jerusalem land deal",108,540,9
"318","Italian culture minister probed over stolen painting",108,540,9
"319","Magnussen to make doping 'world record' attempt",108,540,9
"320","Musk says Neuralink implanted wireless brain chip",108,540,9
"321","Netanyahu defies Biden over Palestinian state",108,540,9
"322","Saudi Arabia to get first alcohol shop in 70 years",108,540,9
"323","US condemns Iran for 'reckless' strikes on Iraq",108,540,9
"324","Adidas says it plans to sell remaining Yeezy stock",107,535,8.91666666666667
"325","Brosnan pleads not guilty to Yellowstone trespassing",107,535,8.91666666666667
"326","Democrats attack Biden over strikes on Houthi rebels",107,535,8.91666666666667
"327","Key Israeli war leader challenges Netanyahu over Gaza strategy",107,535,8.91666666666667
"328","Trump 'unleashed' followers on Carroll, says lawyer",107,535,8.91666666666667
"329","Pope says sexual pleasure is 'a gift from God'",106,530,8.83333333333333
"330","Senior Tory's call for Sunak to go sparks backlash",106,530,8.83333333333333
"331","Winter storm hits US with heavy snow and icy winds",106,530,8.83333333333333
"332","Benzema files defamation suit against French minister",105,525,8.75
"333","Canadian 'poison killer' to head straight to trial",105,525,8.75
"334","Missing China billionaire banker quits all roles",105,525,8.75
"335","Philippine leader defends taking helicopter to gig",105,525,8.75
"336","Russian jet crashes carrying Ukrainian PoWs - Moscow",105,525,8.75
"337","Billionaire Lewis pleads guilty to insider trading",104,520,8.66666666666667
"338","Hamas video claims to show dead Israeli hostages",104,520,8.66666666666667
"339","I was sterilised last year - why am I pregnant again?",104,520,8.66666666666667
"340","Narco-sub with $27m of 'scorpion' cocaine seized",104,520,8.66666666666667
"341","Nigerian monarch shot dead and wife kidnapped",104,520,8.66666666666667
"342","UN's top court to rule on Israel in Gaza war",104,520,8.66666666666667
"343","'If not Putin, then who?' - How Russians view looming elections",103,515,8.58333333333333
"344","Heist brothers 'should be banned from Switzerland'",103,515,8.58333333333333
"345","Net closes in on vigilante destroyer of Italy's speed cameras",103,515,8.58333333333333
"346","Russian oil depot hit in Ukrainian drone attack",103,515,8.58333333333333
"347","Trump does not have presidential immunity, court rules",103,515,8.58333333333333
"348","Brianna killers given life terms for brutal murder",102,510,8.5
"349","Man held for murder over South Africa building fire",102,510,8.5
"350","Mars crash ends Nasa helicopter Ingenuity's mission",102,510,8.5
"351","US strikes Iran-backed militia in Iraq",102,510,8.5
"352","Alabama carries out first nitrogen gas execution",101,505,8.41666666666667
"353","Brits living abroad for more than 15 years get vote",101,505,8.41666666666667
"354","Jodie Comer: I was terrified acting with 15 babies",101,505,8.41666666666667
"355","Judge throws out Disney's lawsuit against DeSantis",101,505,8.41666666666667
"356","Russian poet and Putin critic Lev Rubinstein dies after car crash",101,505,8.41666666666667
"357","Trump, Haley and DeSantis make final pitches in frozen Iowa",101,505,8.41666666666667
"358","What are routes out of this 'dangerous moment' in Middle East?",101,505,8.41666666666667
"359","Days of Our Lives star Bill Hayes dies",100,500,8.33333333333333
"360","Five Republican storylines to watch for in Iowa",100,500,8.33333333333333
"361","Mining giants told to pay $9.7bn over dam disaster",100,500,8.33333333333333
"362","Scientists crack mystery of how MS gene spread",100,500,8.33333333333333
"363","'Russia's Google' owner pulls out of home country",99,495,8.25
"364","Israel W Bank hospital raid kills three Palestinian fighters",99,495,8.25
"365","Nicole Kidman Hong Kong drama not shown in city",99,495,8.25
"366","S Africa's ANC suspends Zuma after new party launch",99,495,8.25
"367","Could the Houthis sabotage undersea cables?",98,490,8.16666666666667
"368","Iran extends Nobel Prize winner's prison sentence",98,490,8.16666666666667
"369","Large crowds protest in Russia as activist jailed",97,485,8.08333333333333
"370","Tesla owners told not to drive with Apple headsets",97,485,8.08333333333333
"371","China warns against 'exotic beauty' spy traps",96,480,8
"372","Country music legend Toby Keith dies aged 62",96,480,8
"373","Rugby star Kurtley Beale not guilty of sexual assault",96,480,8
"374","Spain's prime minister defends Eurovision entry",96,480,8
"375","Trump cannot speak at civil fraud trial - judge",96,480,8
"376","Biden wins South Carolina Democratic primary",95,475,7.91666666666667
"377","Israel and Hamas reach agreement on Gaza aid",95,475,7.91666666666667
"378","King seen for first time since cancer announcement",95,475,7.91666666666667
"379","Spanish farmers join wave of protests",95,475,7.91666666666667
"380","Spectacular arches and caves as iceberg decays",95,475,7.91666666666667
"381","The cancer doctor trying to stop his brain tumour killing him",95,475,7.91666666666667
"382","Houses set on fire as lava spills into Iceland town",94,470,7.83333333333333
"383","Police failed to respond to 999 call from deaths house",94,470,7.83333333333333
"384","Putin's would-be opponent vows to end Ukraine war",94,470,7.83333333333333
"385","Times Square attack on police stirs immigration row",94,470,7.83333333333333
"386","TV and film actor Adan Canto dies of cancer at 42",94,470,7.83333333333333
"387","Australia axes 'golden visa' scheme for mega rich",93,465,7.75
"388","Donald Trump scores huge win in Nevada caucus",93,465,7.75
"389","Elon Musk funds Gina Carano lawsuit against Disney",93,465,7.75
"390","Ghana court sentences six coup plotters to death",93,465,7.75
"391","Hostages freed after nine hours at US plant in Turkey",93,465,7.75
"392","Polish police arrest MPs in presidential palace",93,465,7.75
"393","Post Office threatened BBC over whistleblower",93,465,7.75
"394","Putin challenger submits bid to run for president",93,465,7.75
"395","Rio declares health emergency days before Carnival",93,465,7.75
"396","Spotify attacks Apple's 'outrageous' 27% commission",93,465,7.75
"397","King Charles 'doing well' after prostate treatment",92,460,7.66666666666667
"398","The new-style nightclub that's only open in the day",92,460,7.66666666666667
"399","Thunberg cleared after unlawful protest arrest",92,460,7.66666666666667
"400","UN condemns Alabama nitrogen gas execution",92,460,7.66666666666667
"401","Weight-loss surgeon told patient 'eat, eat, eat'",92,460,7.66666666666667
"402","Disgraced singer Gary Glitter refused jail release",91,455,7.58333333333333
"403","How Ecuador descended into gang violence",91,455,7.58333333333333
"404","Russian 'ultra-patriot' jailed after insulting Putin",91,455,7.58333333333333
"405","US blames Iran-backed group for deadly drone strike",91,455,7.58333333333333
"406","Ethiopians leap into pool during holy festival",90,450,7.5
"407","Israel footballer faces Turkey sack for hostage plea",90,450,7.5
"408","William says public sympathy 'means a great deal'",90,450,7.5
"409","Dua Lipa, Billie Eilish and SZA set to star at Grammy Awards",89,445,7.41666666666667
"410","Man sentenced to death for Japan anime studio fire",89,445,7.41666666666667
"411","'People will keep dying': Fentanyl crisis grips Mexico's border cities",88,440,7.33333333333333
"412","Boney M founder Frank Farian dies aged 82",88,440,7.33333333333333
"413","Iran security officials killed 'in Israeli strike'",88,440,7.33333333333333
"414","Key UN Gaza aid agency runs into diplomatic storm",88,440,7.33333333333333
"415","Putin says deal can be reached to free US reporter",88,440,7.33333333333333
"416","US and UK repel largest Houthi attack in Red Sea",88,440,7.33333333333333
"417","Canada sets two-year cap on foreign students",87,435,7.25
"418","Hard choices for the West in Red Sea stand-off",87,435,7.25
"419","How Swiss museum heist was foiled by sting at London hotel",87,435,7.25
"420","Run-DMC DJ shot by godson for revenge, court told",86,430,7.16666666666667
"421","Shock as Hunter Biden attends House contempt hearing",86,430,7.16666666666667
"422","Trump legal brief warns of chaos if ballot ban upheld",86,430,7.16666666666667
"423","UN in aid plea after staff accused of Israel attack",86,430,7.16666666666667
"424","Woman arrested after pet lion taken on car ride",86,430,7.16666666666667
"425","N Korea tests 'underwater nuclear weapons system'",85,425,7.08333333333333
"426","Senegal on the brink after elections postponed",85,425,7.08333333333333
"427","Axe-wielding hostage-taker shot dead on Swiss train",84,420,7
"428","Five kidnapped Nigerian sisters released",84,420,7
"429","Iran-backed group suspends attacks against US",84,420,7
"430","Woman killed, 17 hurt in Israel car-ramming attack",84,420,7
"431","Hamas says it is studying new Gaza truce proposal",83,415,6.91666666666667
"432","Hamas sets out three-stage plan for ceasefire deal",83,415,6.91666666666667
"433","Hermit crabs are 'wearing' our plastic rubbish",83,415,6.91666666666667
"434","India PM to open grand temple on razed mosque site",83,415,6.91666666666667
"435","King's portrait for public buildings unveiled",83,415,6.91666666666667
"436","US and UK strikes fail to slow Houthi attacks",83,415,6.91666666666667
"437","Israel in heavy south Gaza strikes as hostages sent medicine",82,410,6.83333333333333
"438","Netanyahu defies pressure over Palestinian state",82,410,6.83333333333333
"439","Prince William can show his own version of royalty",82,410,6.83333333333333
"440","Adult dies in Ireland after contracting measles",81,405,6.75
"441","Gaza's largest aid agency 'desperate' after funds paused",81,405,6.75
"442","Israel chooses Eurovision act amid boycott calls",81,405,6.75
"443","'World's oldest dog' title thrown into doubt",80,400,6.66666666666667
"444","Clapham suspect arranged to meet victim before attack",80,400,6.66666666666667
"445","E Jean Carroll says Trump shattered her reputation",80,400,6.66666666666667
"446","The Taiwan that China wants is vanishing",80,400,6.66666666666667
"447","Argentina expels family of Ecuador gang leader",79,395,6.58333333333333
"448","Bashir blamed Diana scandal on colleagues' jealousy",79,395,6.58333333333333
"449","Musk announces wireless brain chip implant",79,395,6.58333333333333
"450","Top US court refuses to block nitrogen gas execution",79,395,6.58333333333333
"451","Covid jab skipped by 44%, entire UK study finds",78,390,6.5
"452","Haley vows to fight on after second loss to Trump",78,390,6.5
"453","Shocked by far-right revelations, Germans consider ban",78,390,6.5
"454","US warns Israel sending troops into Rafah risks 'disaster'",78,390,6.5
"455","Fans boo as Messi fails to play in Hong Kong friendly",77,385,6.41666666666667
"456","Harvard sued over 'rampant anti-Jewish hatred'",77,385,6.41666666666667
