order_var,value,url,scrape_date
1,Iceland declares emergency over volcano threat,,2023-11-12 01:56:37
2,Pope fires Texan bishop after criticism of reforms,,2023-11-12 01:56:37
3,Macron urges Israel to stop bombing babies in Gaza,,2023-11-12 01:56:37
4,Gucci and Moschino designer dies aged 46,,2023-11-12 01:56:37
5,Gaza hospital crippled as fighting rages nearby,,2023-11-12 01:56:37
6,How a budget airline took off on TikTok,,2023-11-12 01:56:37
7,Luis Díaz's father speaks for first time since kidnap,,2023-11-12 01:56:37
8,Mafia bust shows US-Italy crime links still strong,,2023-11-12 01:56:37
9,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-12 01:56:37
10,Missing man died trapped between two fence panels,,2023-11-12 01:56:37
