order_var,value,url,scrape_date
1,Four takeaways from the third Republican debate,,2023-11-09 15:09:30
2,Thirteen-metre wave earns surfer a women's record,,2023-11-09 15:09:30
3,A turning point in Myanmar as army suffers big losses,,2023-11-09 15:09:30
4,Actors celebrate deal to end long Hollywood strike,,2023-11-09 15:09:30
5,Apple co-founder Steve Wozniak in hospital - reports,,2023-11-09 15:09:30
6,"Flintoff is 'healing', Top Gear co-host says",,2023-11-09 15:09:30
7,Why 'I don't recall' is a common strategy on the stand,,2023-11-09 15:09:30
8,Men held over alleged Hezbollah plot in Brazil,,2023-11-09 15:09:30
9,Officer aims gun at colleague over Top Gun spoiler,,2023-11-09 15:09:30
10,Sunak did not clear Braverman's attack on police,,2023-11-09 15:09:30
