order_var,value,url,scrape_date
1,Gucci and Moschino designer dies aged 46,,2023-11-11 15:24:28
2,Iceland declares emergency over volcano threat,,2023-11-11 15:24:28
3,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 15:24:28
4,"Kyiv hit by first air attack in 52 days, says Ukraine",,2023-11-11 15:24:28
5,How a budget airline took off on TikTok,,2023-11-11 15:24:28
6,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 15:24:28
7,Major police operation for pro-Palestinian protest,,2023-11-11 15:24:28
8,"Michael Jackson jacket sells for £250,000 at auction",,2023-11-11 15:24:28
9,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-11 15:24:28
10,Beatles top singles chart 60 years after first hit,,2023-11-11 15:24:28
