order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-19 02:14:47
2,Naga Munchetty told to 'suck it up' by NHS doctors,,2023-10-19 02:14:47
3,No charges for Conor McGregor on sex assault claim,,2023-10-19 02:14:47
4,Law firm pulls student job offers over Israel letters,,2023-10-19 02:14:47
5,Hundreds of cats and dogs rescued from traffickers,,2023-10-19 02:14:47
6,Inside Gaza hospital devastated by explosion,,2023-10-19 02:14:47
7,At least 189 bodies found at US 'green' funeral home,,2023-10-19 02:14:47
8,Natalee Holloway suspect admits to 2005 killing,,2023-10-19 02:14:47
9,Microsoft's new AI tool will let you skip meetings,,2023-10-19 02:14:47
10,Jim Jordan loses second vote in US House Speaker bid,,2023-10-19 02:14:47
