order,value,url,scrape_date
1,The volunteers giving dignity to Israel’s dead,,2023-10-15 18:00:15
2,US actress Piper Laurie dies at 91,,2023-10-15 18:00:15
3,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 18:00:15
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 18:00:15
5,Madonna's Celebration tour is a family affair,,2023-10-15 18:00:15
6,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 18:00:15
7,Afghanistan hit by third earthquake in a week,,2023-10-15 18:00:15
8,Ecuador chooses president during wave of violence,,2023-10-15 18:00:15
9,"Kenya, China and a railway to nowhere",,2023-10-15 18:00:15
10,Fury outpoints KSI in grudge match,,2023-10-15 18:00:15
