order,value,url,scrape_date
1,Teacher killed in France school stabbing,,2023-10-13 14:33:32
2,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 14:33:32
3,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 14:33:32
4,Pro-Palestinian demo broken up after French ban,,2023-10-13 14:33:32
5,How would an Israeli ground assault on Gaza unfold?,,2023-10-13 14:33:32
6,Three ways US Republican Speaker chaos ends,,2023-10-13 14:33:32
7,Seven dead after migrant vehicle crashes in Germany,,2023-10-13 14:33:32
8,Microsoft cleared for biggest ever gaming deal,,2023-10-13 14:33:32
9,Air Canada sued over $20m gold and cash heist,,2023-10-13 14:33:32
10,China deported 'large number' of N Koreans - Seoul,,2023-10-13 14:33:32
