order_var,value,url,scrape_date
1,Luis Díaz's father freed by Colombian guerrillas,,2023-11-09 17:49:54
2,A turning point in Myanmar as army suffers big losses,,2023-11-09 17:49:54
3,Spanish power deal with separatists sparks anger,,2023-11-09 17:49:54
4,Four takeaways from the third Republican debate,,2023-11-09 17:49:54
5,Apple co-founder Steve Wozniak in hospital - reports,,2023-11-09 17:49:54
6,Iceland's Blue Lagoon closes over eruption fears,,2023-11-09 17:49:54
7,Why 'I don't recall' is a common strategy on the stand,,2023-11-09 17:49:54
8,"Flintoff is 'healing', Top Gear co-host says",,2023-11-09 17:49:54
9,Outrage in Ghana after 300-year-old tree felled,,2023-11-09 17:49:54
10,Thirteen-metre wave earns surfer a women's record,,2023-11-09 17:49:54
