order_var,value,url,scrape_date
1,Xi arrives in US as his Chinese Dream sputters,,2023-11-15 17:51:39
2,Paris mayor targets SUVs after electric scooter ban,,2023-11-15 17:51:39
3,Russian diamonds set for ban under new EU sanctions,,2023-11-15 17:51:39
4,Nigerian rapper Oladips dies aged 28,,2023-11-15 17:51:39
5,Ukraine claims foothold on river bank in south,,2023-11-15 17:51:39
6,Bowen: Hospital raid comes as clock ticks on war,,2023-11-15 17:51:39
7,Aniston and Schwimmer pay tribute to Matthew Perry,,2023-11-15 17:51:39
8,Ukrainians tied to Biden probe face treason charge,,2023-11-15 17:51:39
9,Accused Pelosi hammer attacker tearfully testifies,,2023-11-15 17:51:39
10,Buffy Sainte-Marie's 'pretendian' case strikes a nerve,,2023-11-15 17:51:39
