order_var,value,url,scrape_date
1,Bolivia severs diplomatic ties with Israel,,2023-11-01 09:17:37
2,"WeWork plans to file for bankruptcy, reports say",,2023-11-01 09:17:37
3,What China wants from Israel-Hamas war,,2023-11-01 09:17:37
4,Why Indians are debating a 70-hour work week,,2023-11-01 09:17:37
5,Channing Tatum and Zoe Kravitz engaged - US media,,2023-11-01 09:17:37
6,Cornell student held over threats to Jewish classmates,,2023-11-01 09:17:37
7,Strikes on south Gaza: BBC verifies attacks in areas of ‘safety’,,2023-11-01 09:17:37
8,"In one blast, Khalil Khader lost all his children",,2023-11-01 09:17:37
9,'We failed - why our dream eco-business collapsed',,2023-11-01 09:17:37
10,Best celebrity Halloween costumes,,2023-11-01 09:17:37
