order,value,url,scrape_date
1,Egypt warned Israel days before Hamas struck - US,,2023-10-12 16:19:20
2,Bernie Ecclestone pleads guilty to fraud,,2023-10-12 16:19:20
3,French MPs protected as antisemitism increases,,2023-10-12 16:19:20
4,US House in limbo as Scalise scrambles for votes,,2023-10-12 16:19:20
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',,2023-10-12 16:19:20
6,Gaza hospitals risk turning into morgues - Red Cross,,2023-10-12 16:19:20
7,California player wins $1.76bn Powerball jackpot,,2023-10-12 16:19:20
8,Frank Gardner: Hostage crisis is toughest Israel has ever faced,,2023-10-12 16:19:20
9,Who are the hostages taken by Hamas from Israel?,,2023-10-12 16:19:20
10,Taylor Swift joined by Beyoncé for Eras premiere,,2023-10-12 16:19:20
