order,value,url,scrape_date
1,France bans all pro-Palestinian demonstrations,,2023-10-12 19:15:35
2,Airliner escorted to Stansted over security fears,,2023-10-12 19:15:35
3,Ex-soldier fought off Hamas and saved kibbutz neighbours,,2023-10-12 19:15:35
4,Bernie Ecclestone pleads guilty to fraud,,2023-10-12 19:15:35
5,Syria says Israeli missiles hit its main airports,,2023-10-12 19:15:35
6,Egypt warned Israel days before Hamas struck - US,,2023-10-12 19:15:35
7,Wife of deposed Gabon President Bongo detained,,2023-10-12 19:15:35
8,US House in limbo as Scalise scrambles for votes,,2023-10-12 19:15:35
9,California player wins $1.76bn Powerball jackpot,,2023-10-12 19:15:35
10,IOC suspends Russian Olympic Committee,,2023-10-12 19:15:35
