order_var,value,url,scrape_date
1,Xi arrives in US as his Chinese Dream sputters,,2023-11-15 11:05:44
2,Pelosi hammer attack accused tearfully testifies,,2023-11-15 11:05:44
3,Brazil gripped by 'unbearable' heatwave,,2023-11-15 11:05:44
4,Buffy Sainte-Marie's 'pretendian' case strikes a nerve,,2023-11-15 11:05:44
5,Manslaughter arrest over ice hockey player death,,2023-11-15 11:05:44
6,Sir Ian tackles Shakespeare role he's never played,,2023-11-15 11:05:44
7,US evangelicals drive Republican support for Israel,,2023-11-15 11:05:44
8,Arab and Muslim leaders blame West for Gaza misery,,2023-11-15 11:05:44
9,Hostages' fates haunt Israel as Gaza war intensifies,,2023-11-15 11:05:44
10,SA burglars touch World Cup trophy but leave it,,2023-11-15 11:05:44
