order_var,value,url,scrape_date
1,X ad boycott gathers pace amid antisemitism storm,,2023-11-18 03:59:15
2,Weah congratulates Boakai after Liberia poll,,2023-11-18 03:59:15
3,AI boss Sam Altman ousted after board loses confidence,,2023-11-18 03:59:15
4,Bowen: Ceasefire demands will grow without proof of Hamas HQ at Al-Shifa,,2023-11-18 03:59:15
5,Ex-First Lady Rosalynn Carter enters hospice care,,2023-11-18 03:59:15
6,Israel agrees to allow two fuel trucks a day into Gaza,,2023-11-18 03:59:15
7,Biden facing internal dissent over Israel's Gaza campaign,,2023-11-18 03:59:15
8,How has The Crown handled Princess Diana's death?,,2023-11-18 03:59:15
9,Israel finds second hostage body near hospital,,2023-11-18 03:59:15
10,White House criticises Musk over antisemitic lie,,2023-11-18 03:59:15
