order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 18:56:13
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 18:56:13
3,Medieval 'love motto' gold ring found,,2023-10-15 18:56:13
4,Ecuador chooses president during wave of violence,,2023-10-15 18:56:13
5,US actress Piper Laurie dies at 91,,2023-10-15 18:56:13
6,The volunteers giving dignity to Israel’s dead,,2023-10-15 18:56:13
7,Afghanistan hit by third earthquake in a week,,2023-10-15 18:56:13
8,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 18:56:13
9,Madonna's Celebration tour is a family affair,,2023-10-15 18:56:13
10,"What is happening in Israel and Gaza, and why now?",,2023-10-15 18:56:13
