order,value,url,scrape_date
1,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 11:46:03
2,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 11:46:03
3,Madonna's Celebration tour is a family affair,,2023-10-15 11:46:03
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 11:46:03
5,Bank boss warns world facing 'most dangerous time',,2023-10-15 11:46:03
6,Hurt ripples in wake of Indigenous Voice vote,,2023-10-15 11:46:03
7,US actress Piper Laurie dies at 91,,2023-10-15 11:46:03
8,Afghanistan hit by third earthquake in a week,,2023-10-15 11:46:03
9,The volunteers giving dignity to Israel’s dead,,2023-10-15 11:46:03
10,Thousands march in UK pro-Palestinian protests,,2023-10-15 11:46:03
