order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 18:15:24
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 18:15:24
3,US actress Piper Laurie dies at 91,,2023-10-15 18:15:24
4,The volunteers giving dignity to Israel’s dead,,2023-10-15 18:15:24
5,Madonna's Celebration tour is a family affair,,2023-10-15 18:15:24
6,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 18:15:24
7,Afghanistan hit by third earthquake in a week,,2023-10-15 18:15:24
8,Ecuador chooses president during wave of violence,,2023-10-15 18:15:24
9,Fury outpoints KSI in grudge match,,2023-10-15 18:15:24
10,"Kenya, China and a railway to nowhere",,2023-10-15 18:15:24
