order,value,url,scrape_date
1,Ukraine uses US long-range missiles for the first time,,2023-10-18 01:37:19
2,Police shoot dead Brussels attacker who killed Swedes,,2023-10-18 01:37:19
3,Exonerated man shot and killed in traffic stop,,2023-10-18 01:37:19
4,Britney Spears says in memoir she had abortion,,2023-10-18 01:37:19
5,House in disarray as resistance hardens to Jordan,,2023-10-18 01:37:19
6,Why Egypt is reluctant to open crossing with Gaza,,2023-10-18 01:37:19
7,'Grab the children and leave': BBC reporter flees Israel bomb warning,,2023-10-18 01:37:19
8,Sweden investigating damage to Baltic undersea cable,,2023-10-18 01:37:19
9,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-18 01:37:19
10,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-18 01:37:19
