order_var,value,url,scrape_date
1,Hezbollah chief to break silence on Israel-Gaza war,,2023-11-03 15:54:16
2,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-03 15:54:16
3,Mushroom cook tried to kill ex four times - police,,2023-11-03 15:54:16
4,Lisa Marie feared film would show 'predator' Elvis,,2023-11-03 15:54:16
5,Storms and floods ravage Tuscany leaving six dead,,2023-11-03 15:54:16
6,Pablo Escobar's feral hippos face cull in Colombia,,2023-11-03 15:54:16
7,Germany's migrant row deepens as illegal arrivals soar,,2023-11-03 15:54:16
8,Aerosmith's Steven Tyler accused of sexual assault,,2023-11-03 15:54:16
9,Elon Musk tells Rishi Sunak AI will put an end to work,,2023-11-03 15:54:16
10,Everyone got duped by Sam Bankman-Fried's big gamble,,2023-11-03 15:54:16
