order,value,url,scrape_date
1,Trump ex-lawyer pleads guilty in Georgia election case,,2023-10-19 18:09:44
2,'Mannequin' arrested after Warsaw shop burglary,,2023-10-19 18:09:44
3,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-19 18:09:44
4,Threats fly as US House Speaker race turns ugly,,2023-10-19 18:09:44
5,Jordan set to stop Speaker votes for now - reports,,2023-10-19 18:09:44
6,Gwyneth Paltrow rejects 'ugly' nepo baby label,,2023-10-19 18:09:44
7,Hundreds arrested at protest near US Capitol,,2023-10-19 18:09:44
8,Second American journalist detained in Russia,,2023-10-19 18:09:44
9,Greta Thunberg joins climate protest outside bank,,2023-10-19 18:09:44
10,The top electric car maker that is not Tesla,,2023-10-19 18:09:44
