order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 19:01:17
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 19:01:17
3,Medieval 'love motto' gold ring found,,2023-10-15 19:01:17
4,Ecuador chooses president during wave of violence,,2023-10-15 19:01:17
5,US actress Piper Laurie dies at 91,,2023-10-15 19:01:17
6,The volunteers giving dignity to Israel’s dead,,2023-10-15 19:01:17
7,Afghanistan hit by third earthquake in a week,,2023-10-15 19:01:17
8,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 19:01:17
9,Madonna's Celebration tour is a family affair,,2023-10-15 19:01:17
10,"What is happening in Israel and Gaza, and why now?",,2023-10-15 19:01:17
