order_var,value,url,scrape_date
1,Xi arrives in the US as his Chinese Dream sputters,,2023-11-15 05:24:58
2,Manslaughter arrest over ice hockey player death,,2023-11-15 05:24:58
3,US says Hamas has command centre under Gaza hospital,,2023-11-15 05:24:58
4,Pelosi hammer attack accused tearfully testifies,,2023-11-15 05:24:58
5,Buffy Sainte-Marie's 'pretendian' case strikes a nerve,,2023-11-15 05:24:58
6,Why South Africa regrets its liberal asylum laws,,2023-11-15 05:24:58
7,Luis Díaz reunited with father after kidnapping,,2023-11-15 05:24:58
8,Arab and Muslim leaders blame West for Gaza misery,,2023-11-15 05:24:58
9,Xi's trips to Iowa: Tractors and Star Trek wallpaper,,2023-11-15 05:24:58
10,John Oliver's pick wins NZ Bird of the Century poll,,2023-11-15 05:24:58
