order,value,url,scrape_date
1,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 08:58:43
2,Call of Duty maker to be bought by Microsoft,,2023-10-13 08:58:43
3,Three ways US Republican Speaker chaos ends,,2023-10-13 08:58:43
4,Japan asks to dissolve church probed after Abe killing,,2023-10-13 08:58:43
5,Journalist fined for insulting Italian PM,,2023-10-13 08:58:43
6,Steve Scalise drops out of US Speaker race,,2023-10-13 08:58:43
7,Air Canada sued over $20m gold and cash heist,,2023-10-13 08:58:43
8,Ex-tax worker admits leaking Trump income records,,2023-10-13 08:58:43
9,France bans all pro-Palestinian demonstrations,,2023-10-13 08:58:43
10,Colorado officer found guilty in Elijah McClain death,,2023-10-13 08:58:43
