order_var,value,url,scrape_date
1,Offshore ‘secrecy factory’ exploiting UK loophole,,2023-11-02 09:51:46
2,Arrest made in suspected mushroom poisoning deaths,,2023-11-02 09:51:46
3,Relaxed Trump Jr cracks jokes in courtroom debut,,2023-11-02 09:51:46
4,Cornell student in court over threats to kill Jews,,2023-11-02 09:51:46
5,Cough syrup maker boss jailed after child deaths,,2023-11-02 09:51:46
6,"Children must be off limits, says father of abducted kids",,2023-11-02 09:51:46
7,'I don’t want to die at 24' - trapped Gaza woman,,2023-11-02 09:51:46
8,Brain power of over-50s dropped during Covid - study,,2023-11-02 09:51:46
9,George Santos easily survives House expulsion vote,,2023-11-02 09:51:46
10,Gun battles and car crashes plague Europe migrant route,,2023-11-02 09:51:46
