order_var,value,url,scrape_date
1,Ivanka Trump testifies she can't recall loan details,,2023-11-09 04:02:51
2,A turning point in Myanmar as army suffers big losses,,2023-11-09 04:02:51
3,Iran-backed Yemeni rebels shoot down US drone,,2023-11-09 04:02:51
4,US and Italy arrest 16 alleged Gambino mafia members,,2023-11-09 04:02:51
5,Candidates take to stage for third Republican debate,,2023-11-09 04:02:51
6,Picasso masterpiece of 'golden muse' sells for £113m,,2023-11-09 04:02:51
7,Russia hits civilian ship in Black Sea - Ukraine,,2023-11-09 04:02:51
8,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-09 04:02:51
9,'There's disgusting behaviour at my McDonald's',,2023-11-09 04:02:51
10,Russian TikTok star collapses after draft notice,,2023-11-09 04:02:51
