order,value,url,scrape_date
1,Ukraine uses US long-range missiles for the first time,,2023-10-17 23:10:07
2,Police shoot dead Brussels attacker who killed Swedes,,2023-10-17 23:10:07
3,Britney Spears says in memoir she had abortion,,2023-10-17 23:10:07
4,Exonerated man shot and killed in traffic stop,,2023-10-17 23:10:07
5,Sweden investigating damage to Baltic undersea cable,,2023-10-17 23:10:07
6,'Grab the children and leave': BBC reporter flees Israel bomb warning,,2023-10-17 23:10:07
7,Why Egypt is reluctant to open crossing with Gaza,,2023-10-17 23:10:07
8,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-17 23:10:07
9,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-17 23:10:07
10,MI5 fears Israel-Gaza war could fuel radicalisation,,2023-10-17 23:10:07
