order,value,url,scrape_date
1,Polish ruling party set to lose majority - exit poll,,2023-10-15 23:57:21
2,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 23:57:21
3,Iranian director Dariush Mehrjui and wife found dead,,2023-10-15 23:57:21
4,11kg of suspected cocaine found in wheelchair,,2023-10-15 23:57:21
5,Medieval 'love motto' gold ring found,,2023-10-15 23:57:21
6,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 23:57:21
7,England stunned by Afghanistan in World Cup defeat,,2023-10-15 23:57:21
8,Ecuador chooses president during wave of violence,,2023-10-15 23:57:21
9,Madonna's Celebration tour is a family affair,,2023-10-15 23:57:21
10,South Africa beat France by one point in thriller,,2023-10-15 23:57:21
