order_var,value,url,scrape_date
1,Gangster-turned-actor Dave Courtney dies aged 64,,2023-10-23 10:46:45
2,Iran says Tehran metro girl ‘brain dead’,,2023-10-23 10:46:45
3,Argentina minister defies polls in first-round vote,,2023-10-23 10:46:45
4,Detroit synagogue president found murdered,,2023-10-23 10:46:45
5,Iran warns Israel to stop or region will 'go out of control',,2023-10-23 10:46:45
6,The Maldives' new leader wants Indian troops to leave,,2023-10-23 10:46:45
7,Taiwan-based iPhone-maker Foxconn probed by China,,2023-10-23 10:46:45
8,Hamilton disqualified as Verstappen wins US GP,,2023-10-23 10:46:45
9,Missing UK teen murdered in Hamas attack - family,,2023-10-23 10:46:45
10,American Jews and Palestinians face fear and hatred,,2023-10-23 10:46:45
