order_var,value,url,scrape_date
1,Millions affected by Australian network outage,,2023-11-08 04:58:23
2,Ohio affirms abortion rights in closely watched vote,,2023-11-08 04:58:23
3,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 04:58:23
4,Thieves put gun to South Africa minister's head,,2023-11-08 04:58:23
5,Original photo from iconic album cover discovered,,2023-11-08 04:58:23
6,Israel-Hamas conflict exposes South Africa's divisions,,2023-11-08 04:58:23
7,"Ethiopia PM eyes Red Sea port, inflaming tensions",,2023-11-08 04:58:23
8,How WeWork’s founder flew too close to the sun,,2023-11-08 04:58:23
9,Poet Rupi Kaur rejects White House invite over Gaza,,2023-11-08 04:58:23
10,"'I blew the whistle on Meta, now I won't work again'",,2023-11-08 04:58:23
