order_var,value,url,scrape_date
1,Republicans pick Tom Emmer as third Speaker nominee,,2023-10-24 19:08:02
2,"I went through hell, says 85-year-old hostage released by Hamas",,2023-10-24 19:08:02
3,'Super fog' kills seven in 158-car US pile-up,,2023-10-24 19:08:02
4,NZ town tormented by Celine Dion 'music battles',,2023-10-24 19:08:02
5,Museum fixes The Rock waxwork slammed by star,,2023-10-24 19:08:02
6,Israel shows Hamas bodycam attack footage to journalists,,2023-10-24 19:08:02
7,One dead after ships collide in North Sea,,2023-10-24 19:08:02
8,Iceland's PM strikes over gender pay gap,,2023-10-24 19:08:02
9,Faces carved into rock emerge amid Amazon drought,,2023-10-24 19:08:02
10,Fourth Trump co-defendant pleads guilty in Georgia,,2023-10-24 19:08:02
