order,value,url,scrape_date
1,Madonna's Celebration tour is a family affair,,2023-10-15 10:34:38
2,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 10:34:38
3,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 10:34:38
4,Australia rejects historic Indigenous referendum,,2023-10-15 10:34:38
5,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 10:34:38
6,US actress Piper Laurie dies at 91,,2023-10-15 10:34:38
7,Bank boss warns world facing 'most dangerous time',,2023-10-15 10:34:38
8,Afghanistan hit by third earthquake in a week,,2023-10-15 10:34:38
9,The volunteers giving dignity to Israel’s dead,,2023-10-15 10:34:38
10,"Kenya, China and a railway to nowhere",,2023-10-15 10:34:38
