order_var,value,url,scrape_date
1,How two 4-year-olds were killed and social media denied it,,2023-10-26 02:28:39
2,Russia says it rehearsed 'massive' nuclear strike,,2023-10-26 02:28:39
3,Fireworks in court as Trump team calls Cohen a liar,,2023-10-26 02:28:39
4,Israel demands UN chief resign over Hamas comments,,2023-10-26 02:28:39
5,Arnold Schwarzenegger: I'd be great US president,,2023-10-26 02:28:39
6,Ukraine evacuates children as Russian attacks mount,,2023-10-26 02:28:39
7,Bowen: Israelis and Palestinians fear worst is yet to come,,2023-10-26 02:28:39
8,'What's up homie?' - Timberlake impression goes viral,,2023-10-26 02:28:39
9,Republicans got a Speaker. Now begins the hard part,,2023-10-26 02:28:39
10,YouTuber sorry for freeloading stunt in Japan,,2023-10-26 02:28:39
