order,value,url,scrape_date
1,Madonna's Celebration tour is a family affair,,2023-10-15 10:24:31
2,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 10:24:31
3,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 10:24:31
4,Australia rejects historic Indigenous referendum,,2023-10-15 10:24:31
5,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 10:24:31
6,US actress Piper Laurie dies at 91,,2023-10-15 10:24:31
7,Bank boss warns world facing 'most dangerous time',,2023-10-15 10:24:31
8,Afghanistan hit by third earthquake in a week,,2023-10-15 10:24:31
9,The volunteers giving dignity to Israel’s dead,,2023-10-15 10:24:31
10,"Kenya, China and a railway to nowhere",,2023-10-15 10:24:31
