order_var,value,url,scrape_date
1,Woman charged with murder in poison mushroom case,,2023-11-02 11:37:01
2,Offshore ‘secrecy factory’ exploiting UK loophole,,2023-11-02 11:37:01
3,Relaxed Trump Jr cracks jokes in courtroom debut,,2023-11-02 11:37:01
4,"Children must be off limits, says father of abducted kids",,2023-11-02 11:37:01
5,Chinese grieve ex-premier in quiet show of dissent,,2023-11-02 11:37:01
6,Cough syrup maker boss jailed after child deaths,,2023-11-02 11:37:01
7,'I don’t want to die at 24' - trapped Gaza woman,,2023-11-02 11:37:01
8,Brain power of over-50s dropped during Covid - study,,2023-11-02 11:37:01
9,Zambia withdraws ex-president's retirement benefits,,2023-11-02 11:37:01
10,Cornell student in court over threats to kill Jews,,2023-11-02 11:37:01
