order,value,url,scrape_date
1,US warship intercepts missiles fired from Yemen,,2023-10-20 10:28:09
2,Community frozen as Hamas atrocities continue to emerge,,2023-10-20 10:28:09
3,Julia Fox admits to 'red flags' in Kanye relationship,,2023-10-20 10:28:09
4,Lupita Nyong'o fans rally behind her after break-up,,2023-10-20 10:28:09
5,Berlusconi's 'worthless' art a headache for heirs,,2023-10-20 10:28:09
6,Residents leave as tension soars at Lebanon border,,2023-10-20 10:28:09
7,"China has sharply expanded nuclear arsenal, US says",,2023-10-20 10:28:09
8,Soldier who fled to North Korea 'charged in US',,2023-10-20 10:28:09
9,Trump ex-lawyer pleads guilty in Georgia election case,,2023-10-20 10:28:09
10,Retirement home wins top UK architecture award,,2023-10-20 10:28:09
