order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-18 19:45:08
2,Biden backs Israel's account of Gaza hospital explosion,,2023-10-18 19:45:08
3,Tributes paid to honeymoon couple killed in Uganda,,2023-10-18 19:45:08
4,At least 189 bodies found at US 'green' funeral home,,2023-10-18 19:45:08
5,Greta Thunberg charged following oil protest demo,,2023-10-18 19:45:08
6,Fans think 2004 Britney video references abortion,,2023-10-18 19:45:08
7,Pause for thought - Israel’s calculations before going into Gaza,,2023-10-18 19:45:08
8,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 19:45:08
9,Berlin synagogue targeted as antisemitic attacks rise,,2023-10-18 19:45:08
10,Putin feted in rare trip for Xi's global summit,,2023-10-18 19:45:08
