order,value,url,scrape_date
1,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 10:00:02
2,Madonna's Celebration tour is a family affair,,2023-10-15 10:00:02
3,Australia rejects historic Indigenous referendum,,2023-10-15 10:00:02
4,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 10:00:02
5,US actress Piper Laurie dies at 91,,2023-10-15 10:00:02
6,Bank boss warns world facing 'most dangerous time',,2023-10-15 10:00:02
7,Afghanistan hit by third earthquake in a week,,2023-10-15 10:00:02
8,The volunteers giving dignity to Israel’s dead,,2023-10-15 10:00:02
9,Fury outpoints KSI in unlicensed grudge match,,2023-10-15 10:00:02
10,NZ set for right-wing coalition after National win,,2023-10-15 10:00:02
