order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-18 17:24:08
2,Honeymooning couple killed in Uganda park attack,,2023-10-18 17:24:08
3,Biden backs Israel's account of Gaza hospital explosion,,2023-10-18 17:24:08
4,Greta Thunberg charged following oil protest demo,,2023-10-18 17:24:08
5,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 17:24:08
6,Berlin synagogue targeted as antisemitic attacks rise,,2023-10-18 17:24:08
7,Fans think 2004 Britney video references abortion,,2023-10-18 17:24:08
8,Gang leader jailed for smuggling thousands into UK,,2023-10-18 17:24:08
9,House in disarray as resistance hardens to Jordan,,2023-10-18 17:24:08
10,Why The Matrix seems more relevant than ever in 2023,,2023-10-18 17:24:08
