order_var,value,url,scrape_date
1,What a Trump second term would look like,,2023-11-04 17:33:32
2,Matthew Perry buried in private ceremony - US media,,2023-11-04 17:33:32
3,Woman accuses Brand of sexual assault on film set,,2023-11-04 17:33:32
4,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-04 17:33:32
5,Space telescope records baby star's first screams,,2023-11-04 17:33:32
6,US acknowledges flying unarmed drones over Gaza,,2023-11-04 17:33:32
7,'They couldn't save my daughter': 150 dead in Nepal quake,,2023-11-04 17:33:32
8,Concerns over growing flock of wild hens,,2023-11-04 17:33:32
9,Guinea ex-ruler taken from jail by armed men,,2023-11-04 17:33:32
10,Hezbollah steps back from all-out war on Israel - for now,,2023-11-04 17:33:32
