order_var,value,url,scrape_date
1,BBC goes inside Al-Shifa hospital with the Israeli army,,2023-11-16 17:05:35
2,The Crown final season splits critics,,2023-11-16 17:05:35
3,Spain's Pedro Sánchez wins new term as PM,,2023-11-16 17:05:35
4,Russian artist gets 7 years for anti-war messages,,2023-11-16 17:05:35
5,Dog survives 10 weeks in wild beside dead owner,,2023-11-16 17:05:35
6,Five things we learned from the Biden-Xi meeting,,2023-11-16 17:05:35
7,Finland to close some Russia border crossings - PM,,2023-11-16 17:05:35
8,Harry Styles buzz cut reveal lights up fan debate,,2023-11-16 17:05:35
9,Virginia mother of child who shot teacher sentenced,,2023-11-16 17:05:35
10,Dutch election promises new era and shake-up in politics,,2023-11-16 17:05:35
