order_var,value,url,scrape_date
1,"Hostage drama at Hamburg Airport is over, police say",,2023-11-05 14:57:10
2,Four-year-old hostage held on Hamburg Airport tarmac,,2023-11-05 14:57:10
3,Rock in a hard place as French border keeps neighbours apart,,2023-11-05 14:57:10
4,DJ shot dead during live broadcast in Philippines,,2023-11-05 14:57:10
5,Four surprises that could upend the 2024 US election,,2023-11-05 14:57:10
6,Blinken rejects call for Israeli ceasefire in Gaza,,2023-11-05 14:57:10
7,Israel-Gaza war taking focus from Ukraine - Zelensky,,2023-11-05 14:57:10
8,Rescued bear arrives in Devon via Eurotunnel,,2023-11-05 14:57:10
9,Resc-ewed: Britain's loneliest sheep saved from shore,,2023-11-05 14:57:10
10,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-05 14:57:10
