order,value,url,scrape_date
1,Two Swedes killed in Brussels shooting,,2023-10-16 23:51:46
2,Suspect in killing of US Muslim boy appears in court,,2023-10-16 23:51:46
3,Trump gets gag order in 2020 election meddling case,,2023-10-16 23:51:46
4,Jada Pinkett Smith and Will Smith 'healing relationship',,2023-10-16 23:51:46
5,Putin in China to strengthen anti-West coalition,,2023-10-16 23:51:46
6,Trump sues in UK over ex-spy's Russia sex claims,,2023-10-16 23:51:46
7,Israel-Gaza inflames tensions on US college campuses,,2023-10-16 23:51:46
8,Polish opposition eyes power after pivotal election,,2023-10-16 23:51:46
9,Banker loses case over two-sandwich lunch claim,,2023-10-16 23:51:46
10,Polish right-wing party to lose majority - exit poll,,2023-10-16 23:51:46
