order_var,value,url,scrape_date
1,Pope fires Texan bishop after criticism of reforms,,2023-11-12 00:26:17
2,Iceland declares emergency over volcano threat,,2023-11-12 00:26:17
3,Macron urges Israel to stop bombing babies in Gaza,,2023-11-12 00:26:17
4,Gucci and Moschino designer dies aged 46,,2023-11-12 00:26:17
5,How a budget airline took off on TikTok,,2023-11-12 00:26:17
6,Luis Díaz's father speaks for first time since kidnap,,2023-11-12 00:26:17
7,Mafia bust shows US-Italy crime links still strong,,2023-11-12 00:26:17
8,Missing man died trapped between two fence panels,,2023-11-12 00:26:17
9,Gaza: 'Most of the children in my family photo are dead',,2023-11-12 00:26:17
10,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-12 00:26:17
