order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 13:24:31
2,Farmer survives crocodile attack by biting back,,2023-11-08 13:24:31
3,Fury in Spain at Socialists' amnesty plan for power,,2023-11-08 13:24:31
4,Rashida Tlaib censured over Israel-Gaza comments,,2023-11-08 13:24:31
5,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 13:24:31
6,Rich nations say Ukraine support 'will never waver',,2023-11-08 13:24:31
7,Ohio votes to add abortion rights to constitution,,2023-11-08 13:24:31
8,How WeWork’s founder flew too close to the Sun,,2023-11-08 13:24:31
9,"Ethiopia PM eyes Red Sea port, inflaming tensions",,2023-11-08 13:24:31
10,'Exceptional' autumn heat sets up 2023 for record,,2023-11-08 13:24:31
