order,value,url,scrape_date
1,Greta Thunberg charged following oil protest demo,,2023-10-18 13:22:24
2,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 13:22:24
3,Honeymooning couple killed in Uganda park attack,,2023-10-18 13:22:24
4,Biden's visit to Israel is a high-stakes gamble,,2023-10-18 13:22:24
5,House in disarray as resistance hardens to Jordan,,2023-10-18 13:22:24
6,Biden backs Israel's account of Gaza hospital blast,,2023-10-18 13:22:24
7,Why The Matrix seems more relevant than ever in 2023,,2023-10-18 13:22:24
8,Putin feted in rare trip for Xi's global summit,,2023-10-18 13:22:24
9,Greta Thunberg detained at oil protest in London,,2023-10-18 13:22:24
10,Fans think 2004 Britney video references abortion,,2023-10-18 13:22:24
