order,value,url,scrape_date
1,The volunteers giving dignity to Israel’s dead,,2023-10-15 17:09:42
2,US actress Piper Laurie dies at 91,,2023-10-15 17:09:42
3,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 17:09:42
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 17:09:42
5,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 17:09:42
6,Madonna's Celebration tour is a family affair,,2023-10-15 17:09:42
7,Afghanistan hit by third earthquake in a week,,2023-10-15 17:09:42
8,Ecuador chooses president during wave of violence,,2023-10-15 17:09:42
9,"Kenya, China and a railway to nowhere",,2023-10-15 17:09:42
10,Fury outpoints KSI in grudge match,,2023-10-15 17:09:42
