order_var,value,url,scrape_date
1,Maine mass shooting suspect found dead,,2023-10-28 12:41:15
2,Iranian girl who collapsed on Tehran metro dies,,2023-10-28 12:41:15
3,Sailor rescued after days drifting in Pacific Ocean,,2023-10-28 12:41:15
4,Gaza destruction shown in new satellite images,,2023-10-28 12:41:15
5,Doubt cast on indigenous roots of Buffy Sainte-Marie,,2023-10-28 12:41:15
6,Has Israel's invasion of Gaza begun?,,2023-10-28 12:41:15
7,Donald Trump and children to testify in fraud case,,2023-10-28 12:41:15
8,Taylor Swift tackles slut shamers with 1989 remake,,2023-10-28 12:41:15
9,Going undercover to reveal people smugglers' tactics,,2023-10-28 12:41:15
10,Fashion brand A&F facing sex-trafficking lawsuit,,2023-10-28 12:41:15
