order_var,value,url,scrape_date
1,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 08:23:26
2,Iceland declares emergency over volcano threat,,2023-11-11 08:23:26
3,Gucci and Moschino designer dies aged 46,,2023-11-11 08:23:26
4,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 08:23:26
5,Beatles top singles chart 60 years after first hit,,2023-11-11 08:23:26
6,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-11 08:23:26
7,Police brace for largest pro-Palestinian protest yet,,2023-11-11 08:23:26
8,Taylor Swift breaks record with Grammy nomination,,2023-11-11 08:23:26
9,The photos that capture Glasgow's cultural melting pot,,2023-11-11 08:23:26
10,FBI seize NYC mayor's phones in financing probe,,2023-11-11 08:23:26
