order,value,url,scrape_date
1,"'Oh god, they're here': Hamas massacre captured on Israeli mothers' WhatsApp group",,2023-10-14 03:38:12
2,BBC journalists held at gunpoint by Israeli police,,2023-10-14 03:38:12
3,Could an Israeli ground invasion of Gaza meet its aims?,,2023-10-14 03:38:12
4,Michael Caine confirms he has retired from acting,,2023-10-14 03:38:12
5,France raises security level after school attack,,2023-10-14 03:38:12
6,Trump-backed Jim Jordan chosen as Speaker nominee,,2023-10-14 03:38:12
7,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-14 03:38:12
8,Bank boss warns world facing 'most dangerous time',,2023-10-14 03:38:12
9,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-14 03:38:12
10,"Kenya, China and a railway to nowhere",,2023-10-14 03:38:12
