order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 21:14:19
2,11kg of suspected cocaine found in wheelchair,,2023-10-15 21:14:19
3,Medieval 'love motto' gold ring found,,2023-10-15 21:14:19
4,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 21:14:19
5,England stunned by Afghanistan in World Cup defeat,,2023-10-15 21:14:19
6,US actress Piper Laurie dies at 91,,2023-10-15 21:14:19
7,Ecuador chooses president during wave of violence,,2023-10-15 21:14:19
8,Afghanistan hit by third earthquake in a week,,2023-10-15 21:14:19
9,The volunteers giving dignity to Israel’s dead,,2023-10-15 21:14:19
10,Teacher killed in France school stabbing,,2023-10-15 21:14:19
