order_var,value,url,scrape_date
1,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 00:06:38
2,Gucci and Moschino designer dies aged 46,,2023-11-11 00:06:38
3,Taylor Swift breaks record with Grammy nomination,,2023-11-11 00:06:38
4,Ex-US senator chases man who molested her on a jog,,2023-11-11 00:06:38
5,Astronaut who led Apollo 8 mission dies aged 95,,2023-11-11 00:06:38
6,Women in naked assault video ‘will not give up’,,2023-11-11 00:06:38
7,First-ever images prove 'lost echidna' not extinct,,2023-11-11 00:06:38
8,News outlets deny Israeli claims over Hamas attack,,2023-11-11 00:06:38
9,German hiking group reported to police as migrants,,2023-11-11 00:06:38
10,Beatles top singles chart 60 years after first hit,,2023-11-11 00:06:38
