order_var,value,url,scrape_date
1,Xi arrives in US as his Chinese Dream sputters,,2023-11-15 11:20:46
2,Pelosi hammer attack accused tearfully testifies,,2023-11-15 11:20:46
3,Brazil gripped by 'unbearable' heatwave,,2023-11-15 11:20:46
4,Buffy Sainte-Marie's 'pretendian' case strikes a nerve,,2023-11-15 11:20:46
5,Manslaughter arrest over ice hockey player death,,2023-11-15 11:20:46
6,SA burglars touch World Cup trophy but leave it,,2023-11-15 11:20:46
7,US evangelicals drive Republican support for Israel,,2023-11-15 11:20:46
8,Hostages' fates haunt Israel as Gaza war intensifies,,2023-11-15 11:20:46
9,Arab and Muslim leaders blame West for Gaza misery,,2023-11-15 11:20:46
10,Sir Ian tackles Shakespeare role he's never played,,2023-11-15 11:20:46
