order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 10:59:11
2,Original photo from iconic album cover discovered,,2023-11-08 10:59:11
3,Ohio votes to add abortion rights to constitution,,2023-11-08 10:59:11
4,Farmer survives crocodile attack by biting back,,2023-11-08 10:59:11
5,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 10:59:11
6,Fears hundreds of children used in AI naked images,,2023-11-08 10:59:11
7,'Exceptional' autumn heat sets up 2023 for record,,2023-11-08 10:59:11
8,How WeWork’s founder flew too close to the sun,,2023-11-08 10:59:11
9,Nitrous oxide ban in UK comes into force,,2023-11-08 10:59:11
10,Christie's sells rare blue diamond for over $40m,,2023-11-08 10:59:11
