order,value,url,scrape_date
1,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 12:06:37
2,Hurt ripples in wake of Indigenous Voice vote,,2023-10-15 12:06:37
3,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 12:06:37
4,Madonna's Celebration tour is a family affair,,2023-10-15 12:06:37
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 12:06:37
6,US actress Piper Laurie dies at 91,,2023-10-15 12:06:37
7,Afghanistan hit by third earthquake in a week,,2023-10-15 12:06:37
8,The volunteers giving dignity to Israel’s dead,,2023-10-15 12:06:37
9,Bank boss warns world facing 'most dangerous time',,2023-10-15 12:06:37
10,Australia rejects historic Indigenous referendum,,2023-10-15 12:06:37
