order_var,value,url,scrape_date
1,Maine mass shooting suspect found dead - police,,2023-10-28 04:50:04
2,Donald Trump and children to testify in fraud case,,2023-10-28 04:50:04
3,Why Li Keqiang's death is dangerous for Xi Jinping,,2023-10-28 04:50:04
4,Doubt cast on indigenous roots of Buffy Sainte-Marie,,2023-10-28 04:50:04
5,Gaza destruction shown in new satellite images,,2023-10-28 04:50:04
6,Maine Democrat reverses course on weapons ban,,2023-10-28 04:50:04
7,Fashion brand A&F facing sex-trafficking lawsuit,,2023-10-28 04:50:04
8,Going undercover to reveal people smugglers' tactics,,2023-10-28 04:50:04
9,Sailor rescued after days drifting in Pacific Ocean,,2023-10-28 04:50:04
10,Israel angrily dismisses UN Gaza truce resolution,,2023-10-28 04:50:04
