order,value,url,scrape_date
1,Emily Blunt regrets 'hurtful' comments in old clip,,2023-10-21 23:56:22
2,Why Kyiv's east bank gain could be significant,,2023-10-21 23:56:22
3,Israeli Arabs arrested over Gaza social media posts,,2023-10-21 23:56:22
4,My daughters beg to go home - but our old lives in Gaza City are over,,2023-10-21 23:56:22
5,Kharkiv postal building missile strike kills six,,2023-10-21 23:56:22
6,Neighbourhood flattened and hospital told to evacuate,,2023-10-21 23:56:22
7,"Saudi prince slams Hamas, Israel and the West",,2023-10-21 23:56:22
8,Brave England edged out as Boks make final,,2023-10-21 23:56:22
9,"Hamas frees two US hostages, a mother and daughter",,2023-10-21 23:56:22
10,Arab states reject forced displacement from Gaza,,2023-10-21 23:56:22
