order_var,value,url,scrape_date
1,Iran says Tehran metro girl ‘brain dead’,,2023-10-23 01:17:32
2,Detroit synagogue president found murdered,,2023-10-23 01:17:32
3,Iran warns Israel to stop or region will 'go out of control',,2023-10-23 01:17:32
4,Argentina votes in poll rocked by radical candidate,,2023-10-23 01:17:32
5,Missing UK teen murdered in Hamas attack - family,,2023-10-23 01:17:32
6,Who are the hostages taken by Hamas from Israel?,,2023-10-23 01:17:32
7,The Maldives' new leader wants Indian troops to leave,,2023-10-23 01:17:32
8,Israel carries out air strike on West Bank city Jenin,,2023-10-23 01:17:32
9,Why Indonesia can’t stop crocodile attacks,,2023-10-23 01:17:32
10,Dead and wounded strain Gaza hospitals as air strikes intensify,,2023-10-23 01:17:32
