order_var,value,url,scrape_date
1,Manslaughter arrest over ice hockey player death,,2023-11-14 23:19:05
2,Secret deal links Abramovich to Putin's 'wallets',,2023-11-14 23:19:05
3,Cox and LeBlanc in new tributes to Matthew Perry,,2023-11-14 23:19:05
4,Suella Braverman accuses PM of betrayal,,2023-11-14 23:19:05
5,US says Hamas has command centre under Gaza hospital,,2023-11-14 23:19:05
6,Kevin McCarthy accused of elbowing fellow Republican,,2023-11-14 23:19:05
7,Luis Díaz reunited with father after kidnapping,,2023-11-14 23:19:05
8,Arab and Muslim leaders blame West for Gaza misery,,2023-11-14 23:19:05
9,Why businesses are pulling billions from China,,2023-11-14 23:19:05
10,Finland accuses Russia of aiding migrant crossings,,2023-11-14 23:19:05
