order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 18:10:22
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 18:10:22
3,US actress Piper Laurie dies at 91,,2023-10-15 18:10:22
4,The volunteers giving dignity to Israel’s dead,,2023-10-15 18:10:22
5,Madonna's Celebration tour is a family affair,,2023-10-15 18:10:22
6,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 18:10:22
7,Afghanistan hit by third earthquake in a week,,2023-10-15 18:10:22
8,Ecuador chooses president during wave of violence,,2023-10-15 18:10:22
9,Fury outpoints KSI in grudge match,,2023-10-15 18:10:22
10,"Kenya, China and a railway to nowhere",,2023-10-15 18:10:22
