order_var,value,url,scrape_date
1,Mike Pence withdraws from 2024 US presidential race,,2023-10-29 01:33:42
2,Israel recalls diplomats from Turkey in Gaza row,,2023-10-29 01:33:42
3,South Africa edge out New Zealand in epic final,,2023-10-29 01:33:42
4,Gaza 'disconnected from the planet' - but messages of fear trickle out,,2023-10-29 01:33:42
5,"Israel has no plan for Gaza after war ends, experts warn",,2023-10-29 01:33:42
6,Iranian girl who collapsed on Tehran metro dies,,2023-10-29 01:33:42
7,Sailor rescued after days drifting in Pacific Ocean,,2023-10-29 01:33:42
8,Thousands at pro-Palestinian protest in London,,2023-10-29 01:33:42
9,Maine mass shooting suspect found dead,,2023-10-29 01:33:42
10,At least 32 dead in multi-vehicle crash in Egypt,,2023-10-29 01:33:42
