order_var,value,url,scrape_date
1,Pope fires Texan bishop after criticism of reforms,,2023-11-12 01:06:26
2,Iceland declares emergency over volcano threat,,2023-11-12 01:06:26
3,Gucci and Moschino designer dies aged 46,,2023-11-12 01:06:26
4,Macron urges Israel to stop bombing babies in Gaza,,2023-11-12 01:06:26
5,Luis Díaz's father speaks for first time since kidnap,,2023-11-12 01:06:26
6,How a budget airline took off on TikTok,,2023-11-12 01:06:26
7,Missing man died trapped between two fence panels,,2023-11-12 01:06:26
8,Mafia bust shows US-Italy crime links still strong,,2023-11-12 01:06:26
9,Gaza: 'Most of the children in my family photo are dead',,2023-11-12 01:06:26
10,Third person dies after Markethill four-car crash,,2023-11-12 01:06:26
